emotions,sentiment,clean_text
sadness,Neutral,  ohh thursday exams day wednesday 
neutral,Neutral,mix dentist appt afternoon rescheduled tomorrow  9am
sadness,Negative,    thinking excited guys move realized sad go
worry,Positive,goooood mooorning people sun out definitly spring now spring hail storm car dimples now
sadness,Positive,  love itsakey usb sticks 4gb australia
worry,Positive,fresh prince sleepy sleeps nightly routine gotta dmv early tmrw
hate,Positive,dammit hulu desktop totally screwed ability talk particular port dev servers cant watch code
worry,Neutral,  jealous mom talking   want twittering making miss
worry,Neutral,cant sleepi thinking puppy played today
worry,Positive, im suppposed sleep got do amp got song stuck head quotyour jerk iknowquot blaahh
neutral,Neutral,  whats going sweetheart
neutral,Negative,freaking difficult systemwide spellchecker shit id settle office suite one stupid unhelpful windows
worry,Negative,month summer strawberry availble chennai markets
neutral,Neutral,  work 6am gotta bed soon
love,Positive,  correct adore him plucked arm cuz cryin better now hahaha
sadness,Neutral,  hiii im ipodi cant fall asleep
sadness,Neutral,dont wanna work 11830 tomorrow paid
sadness,Positive,feels sad coz wasnt able play guys 
neutral,Neutral,princecharming
hate,Negative, cayogial wanted come bz summer  sure anymore teachers life summer sucks
worry,Positive,dropped mobile   less  charged data data pack 
hate,Positive,  win  sigh rakeem
neutral,Positive,oh time real
sadness,Neutral,darn allergies like time year this problem
worry,Negative,oh minute late oh
hate,Negative,  damn sucks
sadness,Negative,  wanted come bz summer  sure anymore teachers life summer sucks
hate,Positive,  website gave virus opened windows kept popping
worry,Negative,ahh big scary bug flying room
sadness,Neutral,wish knew puts throughshe stole heart gave backand occasionally likes like look have
worry,Negative,nasty cough cant sick huge weekend ahead
neutral,Negative,  stone cold crazy 
boredom,Negative,im tired
neutral,Neutral,shift time bbye biochem waaaaahhhhhh 
neutral,Positive,  im sure some1 cum play im workin til midnight
neutral,Positive,  second that wish rained
sadness,Positive,  early happy day birth case it tired therapy today n taking medicine misshu love ya
neutral,Neutral,damn eric need hair played
neutral,Negative,im feel deflated ugh dog
sadness,Neutral,allergies suck ducks nuts lt8 
neutral,Positive,good day guess retry tomorrow
hate,Negative,  waraku tasteless expensive portion little re waraku
love,Positive,  sounds good appreciate suggestion week were offline time ask refund
worry,Positive,  died wait magic jack read it
hate,Neutral,  youstinkatrespondingtotexts
sadness,Neutral,wonders karma points turned 000 
happiness,Neutral,need pack cali cali waittt thinking glass wine order celebrate weekend vaca work 2morrow tho
sadness,Negative,miserable feel like im gona cry sux
neutral,Negative,  ran beer left sure eta waiting waiting waiting bleh gonna long nite methinks
worry,Positive,  nose stud fell cant find looks like ill head amsterdam today new
neutral,Positive,claire   love show got office  5am radio
love,Positive,pats philly 2 am love it mmm cheesesteak miss boyfriend love vacation
sadness,Positive,sigh im going bed feel right anymore
neutral,Positive,what focused tom beloved barack oh no vote both poor president 626 votes
neutral,Neutral,  epicentre wheelock place  tourists only
sadness,Neutral,depressed watching think dance
sadness,Neutral,cross cause im stuck twiddling thumbs now ugh
neutral,Neutral,miss 16th
neutral,Negative,  know like said idea long takes investigate stuff
worry,Neutral,cant sleep im sore
neutral,Neutral,    awe miss baby
empty,Neutral,  answered you learned write french basic stuff
neutral,Neutral,chocolates
worry,Negative,achieving new appreciation xml build script painful cumbersome
neutral,Negative,  im awake ill nap afternoon
worry,Neutral,  cant
neutral,Neutral,needs 6 hours sleep
relief,Neutral,im work
fun,Positive,rip leonardo great mini fiddler crab
neutral,Positive,morning tweepleway early
sadness,Negative,day working uni today sad times
love,Positive,  thanks neemah im gonna soooo close izzy far
worry,Negative,head hurts bad scream
worry,Negative,im tired airmatras broken im pain
worry,Negative,new work wellness challenge going well committed check email 10 pm 6 am failed day twice
worry,Negative,new blog post blog auto insuran found auto insurance policy expired  careless   meanw 
neutral,Neutral,bestfriends   mia wat 
worry,Positive,oh meni cant facecmon guys
worry,Negative,im showing age renewed tags week went 20 got insurance renewal email today went 100 wanna old
worry,Neutral,sole supporter sole supporter
hate,Negative,hate finish work theres 125 hours left work time
worry,Neutral,  urgh stop guys
sadness,Neutral,missing husband want home
sadness,Neutral,miss puppy
surprise,Neutral,2 days month left 400mb left onpeak downloads
fun,Positive,  out memo looks amazing
sadness,Positive,  ive given pizza  kids let fav the hot ones
worry,Negative,reading tabloids peoples livesthinking im gonna baby leaves
sadness,Negative,  yearling pet home died sad family
neutral,Negative,fun sun hmmm hell cold
worry,Positive,got giant splinter stuck underneath finger nail today muppetsit hurt got aid time
sadness,Negative,  hate change course were fans life lt3 oh met rob went horribly wrong
worry,Negative,feeling sad reason 
sadness,Negative,fuck new pain med odd warning actually applies me cant this chan displeased
sadness,Negative,uploaded new blog painful story 80s year old man cried wanted die sad
neutral,Neutral,  think so want details
neutral,Neutral,  hi mary poppins
worry,Positive,  addicting kind curse night time everytime one feel like making music
neutral,Negative,tweet send bad phone
fun,Negative,  omg ur alive lol 2day gone sooo slow im going insane grrr tonight
empty,Neutral,headache im going bed goodnight
neutral,Neutral,  watching parental control
fun,Positive,  california vintage ahahah best dresses want dont ebay
sadness,Negative,saw pics past thanksgiving sad grandma them
worry,Neutral,  wont let
sadness,Positive,took shift tomorrow feel like working right now
sadness,Neutral,money phone
worry,Negative,spent night aampe er wife tangled wheels daughter amp hit deck dislocation amp fracture resulted
worry,Positive,  9 days im ready visit torchwood theyve heard
surprise,Neutral,  you bris cant hear thunder
surprise,Negative,bec vs fat food  winner  fat food weeknend ill beat it
sadness,Negative,bad red devils disappointing
surprise,Positive,dream pretty pretty beach beach woke
sadness,Negative,  3ware 9650se fast 3x x25m ssd raid5 800mhz iop hpt try adaptec 5405 12ghz
surprise,Neutral,da heck garage man ask you when
worry,Negative,ate mandy forgive me sorry wanna lose bff
hate,Positive,  umm yeah thats probably pretty good note self eeeeeewwwwwwww
worry,Negative,plane tickets expensive
fun,Positive,    umm yeah thats probably pretty good note self eeeeeewwwwwwww
worry,Negative,needs job badly
sadness,Neutral,  daaammmnnnnn wish there
worry,Neutral,went di bella coffee roasters today asked job person needed speak holiday fb
sadness,Negative,  played parts voodoo village coop lost usual partner
empty,Negative,  nite im n bored opposed sleep frm b 4
sadness,Negative,bad friend
neutral,Positive,  happy birthdayyy hope awesome day night
hate,Positive,  im shit right  im vacation got workin
neutral,Negative,  ill oir
neutral,Neutral,  guess girlie im gym work 630am
hate,Neutral,wish severe migrains stop docs prescriptions arent working
love,Negative,  missed game
sadness,Neutral,  internet night er brill massive explosion end nearby gas works er standby
hate,Negative,  cuz airlines super lame
sadness,Negative,   pity comes lamb
sadness,Neutral,  im sorry hear that optimist things better us
relief,Neutral,painting bedroom furniture table wait move uggh moving heat
hate,Positive,im tiredand insomnia
neutral,Negative,  hungry fool ill probably krispy kreme again enjoy it closing
neutral,Neutral,  airport didnt tonight homo
hate,Negative,hate bakersfield hate ports let home already want start vacation
neutral,Neutral, 
neutral,Positive,looking desktop twitter app actually let access urls suggestions liked twittle linking
worry,Neutral,people house know close doors
surprise,Neutral,completing facebook quizzes time morning especially friday morning
neutral,Neutral,  amp   soooo hungry
worry,Neutral,  like possibility left brain hurting thing called vp shunt possible death
sadness,Positive,cancel wow
worry,Positive,wants music profile money know write music know play instrument studio
sadness,Neutral,  yeahim sad quotravenclawquot account love account bits
worry,Negative,115 am hear helicopter flying house thats kind weird news headache back booooo
worry,Positive,  oh  lt3
neutral,Positive,school ms suhanas day ft ocu okay im playing altnoy again
neutral,Neutral, poll  trying work powerpoint avail
happiness,Positive,took math test today day test teacher says bring calculator luke confident teacher decided calcs
happiness,Positive,omg concert awesome madrigals gave chills piecebrooks called alumni didnt
neutral,Positive,  yeah terrible cockatoos hardest live with emotional good thing found you though
sadness,Negative,late nothin 2 do
worry,Negative,think vog making sicker think feeling slightly achy
empty,Positive,  watching harpers island lol vodka involved
worry,Negative,homework sux big time maths worst
neutral,Positive,  better imo let play 3 songs provided start quotget itquot blacks out
neutral,Neutral,3wordsaftersex started
sadness,Neutral,wish things way beginning summer
worry,Positive,downloaded new twitterfon update thinking fixing typing problem new tweets no
empty,Neutral,  trudys burnetthe north goes
sadness,Neutral,  feel way guess matter memes
happiness,Positive,cant 30 minutes treadmill 30 minutes today already gonna 20 minutes
worry,Negative,im sooooooooooooo confused
neutral,Negative,friends like vaikonedumaran ltte need enemies wrong advice wrong time led numerous deaths amp lost cause
worry,Neutral,work day 7 7
happiness,Neutral,chillin roomies cant wait zombie clwn cr gonna 68 weeks
neutral,Positive,looove guitars playing them think sound magnificent better
worry,Neutral,  refunds retrieve accounts takes like week hoping thief use hacks permaban
neutral,Positive,  im cries lol
sadness,Positive,cute malay girl came seemy room rent  sadly think guyfreind bit misleading disappointing lol
surprise,Neutral,  epicentre wheelock place 250 units amp tourists only starting today
hate,Negative,hate new mt dew commercialthe giant mosquitoit scares grosses time
neutral,Neutral,come knight 4 hours
worry,Positive,super keen drive home rain additional concentration required wanna deal
surprise,Negative,  aw u cant let secret
surprise,Negative,  im sorry think stick out compared look like
worry,Positive,transport church wont making it im crushed oh well time assignments suppose throat hurts 
hate,Negative,hate pregnant women smokinggg sooo irresponsible n selfish saaad ultimately baby suffers
hate,Neutral,liesliesliesyou cant avoid lie practicallyeverything
neutral,Neutral,twittascope rocking socks  away already
neutral,Neutral,driving home forgot piece cake  
worry,Neutral,  tried jumping trampoline like thud thud eaten cookie 
sadness,Positive,everytime send email coach feel need practice shitty balls lol
sadness,Neutral,pissing letting follow ericka
sadness,Positive,going sleep peaceful wanted hear good night happen good night everyone
sadness,Negative,mums trying feel ebtter stopping voting adn winning shortstack cried
neutral,Negative,  close tacosone spot late
empty,Negative,  umm bout emaint 2 da game dey survived anotha game da series notin lebron im guessin
surprise,Positive,thinking im work
worry,Positive,forgot live jonas brothers facebook
sadness,Positive,seen muffin days
sadness,Neutral,  ill miss yall back   regards
surprise,Positive,gap year going quick
worry,Neutral,admit im bit bummed friends walking today
neutral,Positive,  girl blunt soooooooo thoughts right now absolutly great day stressorscome home
worry,Neutral,twitter hacked
sadness,Neutral,found mj mouse flats djs course left size
neutral,Positive,  wont time buy need new binder pa
hate,Negative,  hahaha try ugly
neutral,Negative,25man ulduar hard
worry,Neutral,  want know know vhemt  wed miss
fun,Positive,  thats awesome weekend cant im moving sat lot fun
neutral,Neutral,night night twitter world still cant believe thomas thing tomorrows gunna funsad
neutral,Neutral,  happening
surprise,Neutral,  oh no hugs
neutral,Negative,  bored talking theyre busy kinda bummer idk
sadness,Neutral,  knoww things samee lt3
worry,Positive,omgness 1118 pm need beup early set garage sale starts 8am wish said 9am im beat
happiness,Neutral,  kno doooo yall partyin
worry,Positive,okay twitter suddenly changed respond messages
neutral,Positive,ugh dad told read article kavya shivashankar spellin bee girland like her
worry,Positive,decided matter good hair looks curly justify burn curler hands covered suck it
sadness,Neutral,going sleep gonna fall asleep playing apps again tmrw going suck
neutral,Neutral,  yea gotta 730
hate,Negative,hate bf beats da dogs guess way teach pitts
worry,Negative,sprained ankle like badly tore stuffs hurts birthday weekend
sadness,Negative,cant believe metal gear solid song stolen im disappointed 
hate,Negative,think broke toe bar tonightthanks drunk girl steppin me
neutral,Positive,sale today work explored balconies big theater w coworkers fun day void chili fries tips
sadness,Positive,  wish left 4 dead id need play on
neutral,Neutral, 
neutral,Neutral,  story reminds living portugal
neutral,Negative,  youre diabetic dad amp too sure allowed eat sugar day
happiness,Positive,spilled beer leg wasted half beer home now met cute girl good conversation
hate,Neutral,roommate   loves ignore
neutral,Positive,  ill nachos tomorrow better himself
neutral,Neutral,  yeahhh ampdont judge pillow
relief,Positive,scary lightning thunder im glad now going sleep hope im late school tomorow again haha
sadness,Neutral,teeth head hurts
sadness,Negative,hate rob zombie movies amp smell weed vommmm
hate,Neutral,  maths science strongest thinkdunno bout geography like 1 day study 12 year work
boredom,Neutral,waiting line  tryst
worry,Negative,hope job cuz need apartment im drunk amp miss lil punkin tehe
worry,Neutral,got home wanting read chaper breaking dawn cause dont want beover
worry,Neutral,need held gnite
worry,Neutral,hanging sam billy veronica going school tomorrow sam body shops dang car accidents
sadness,Negative,arrested development sad
neutral,Neutral,  wicked  time leaving come cant stay night
sadness,Negative,omg losing followers sad want 90 daythats goal d
sadness,Negative,feel deflated doggy
worry,Neutral,  wanna hair hows everyone
sadness,Negative,trash mac difficult things life 8000 pictures gone
sadness,Positive,im contacting paws philippines find quottigerquot new owner im sad love dog soo
sadness,Neutral,got home wanting read chaper breaking dawn cause dont want
worry,Positive,aww pray arroyo family everyone
neutral,Neutral,  theres manual process taking 4ever outlook database pffff crappy msft product
sadness,Negative,fuuudge movie store closed
sadness,Negative,alo sad quiet tonight
hate,Positive,  hahahaha horrible singing im sure work wish afford drum set
worry,Neutral,  answered dm sent you need info
worry,Positive,trying pilot season friday night lights oh gosh pass tissue
sadness,Neutral,  aw headed to cancelled trip aussie
worry,Neutral,cystic lacrimal infectection eye face swollen hurts
worry,Neutral,  think caught
empty,Negative,need sleeping im tired
empty,Neutral,0
neutral,Neutral,oh nevermind think thing unsalvageable
neutral,Positive,lyin bed faaaaar early
sadness,Negative,sad christian lacroix file bankruptcy
sadness,Positive,dont feel good all fuckkk
boredom,Neutral,agree work double shift
worry,Neutral,looks like ill zoo
worry,Negative,  ohh poor girl ill email her relying october mr
neutral,Neutral,medhurst play again
worry,Negative,  bad times
hate,Positive,aarrgghh  fuka hose leaked water new floating floor
sadness,Neutral,dreaded dmv tomorrow
neutral,Neutral,  im bit bens thaied
happiness,Neutral,english class working interactive orals
worry,Neutral,  thank rec work
neutral,Positive,  im sorry excited tomorrow night karaoke getting special bday
worry,Positive,puppy gizmo h8s me haha growls  me look  long pruple scar fingie
worry,Neutral,know ima work tomorrow wit body dis sore ugh
neutral,Neutral,711 wo
neutral,Negative,  yeah plus little far walk pinocchios sushi
worry,Negative,im feeling pressure head kicks nasty headache im looking forward this
sadness,Positive,taylor swift joe jonas looked good together im kinda sad broke up
worry,Neutral,im suppose turn sentence outline research paper hour online neck hurts
worry,Neutral,lady way miscarriage prayer
sadness,Neutral,god want sleep
hate,Neutral,  ohhhh thunderstormsboo power out
worry,Negative,feel deflated doggy
sadness,Negative,found book starting real paperbound journal tonight annoying zit lip makes look like herpes
hate,Negative,ratt rocked nashville toniteone thing sucked encore like 80s fun show pearcy hott bad boy look
worry,Negative,feeling bad got bad news mum
sadness,Neutral,  dun wanna
sadness,Negative,  damn girl im ya gotta let know kit amp got flyer weekend iquotm down
sadness,Negative,  dbl booooooo sick flippin blows  bahaha kno dont friends either feel lame haha
neutral,Neutral,  thats thinking time gonna 1 am
neutral,Positive,peeps here fun times gotta sleep tho work am cool hot chicks here cool  missing
worry,Neutral,feel like working think tweet often
sadness,Negative,feels sick stomach idkk whyy
worry,Positive,vinerinimic special sau probabil un alt weekend pierdut
neutral,Neutral,counting hours lost sunshine weekend
surprise,Positive,   dude saw sf pics looks like mini excursion pretty kick ass sun tho
relief,Positive,home safely hungry
sadness,Neutral,  um thrown   van yesterday taken er
worry,Positive,got final table butwent third think ill getting free seat
neutral,Positive,good morning work morning gutted lol nevermind
hate,Neutral,work morning friends party upstupid bberry lite flashing red messages
happiness,Negative,fb boring wanna sing right now 
sadness,Neutral,  link work
neutral,Positive,  hahaha know powers lol live bubble
worry,Neutral,humpalow um ya think so cell dying
worry,Neutral,day worksick bone
worry,Negative,feel like im house arrest
neutral,Positive,love like wareasy begin hard endfiuuhh
surprise,Neutral,  ur supposed bk tho
worry,Negative,  know shortage shells crabs use beach beach combers sad
surprise,Neutral,oh no nighty night
happiness,Positive,  must have new music sleep chapter 1 die though hurry
sadness,Negative,stupid tooooth hurts
love,Positive,  love song quottogetherquot thats quothisquot song mewell think
neutral,Positive,ready  school
sadness,Negative,  computers broken broke laptop use phone ahh cause fucked order
neutral,Positive,  good it holiday chalet sight look v similar ones going home today
worry,Negative,sad economy heard friend losing job sad reminder that
worry,Negative,  im starting feel panicky anxious bad happened cos like ages
worry,Neutral,dog ran awayyy
hate,Negative,  suck bad
worry,Negative,im back molar extracted swollen face numb toothache sinus pain
relief,Positive,finished 8 hours texas life insurance ce tonight 22 hours
worry,Positive,know good rap songs need rapfun cd idea helllllpppp
love,Neutral,want peru summer ahhhhhhh hopefully yesyesyes miss there
empty,Neutral,  happen maids yours quit again 
sadness,Positive,im awake anybody awake wish lived fun happens im asleep
hate,Positive,charles power out lol damn savemart lost power buy beer
sadness,Positive,  heehee love you tired
worry,Negative,mobile phone refuses charge battery broken chargerrr  booooo
worry,Neutral,  oh wish sign send let meet
worry,Negative,  hmmm thought u sleeping bad cant videos tomorrow night
sadness,Negative,morning sorry going early night bad news felt totally crap today new day
empty,Neutral,went beach started raining
sadness,Positive,wish parents chinese school younger then itll easier job
relief,Positive,    yeah physically moving too apparently well reporting directly mr hayward
neutral,Neutral,  airport didnt tonight homo
worry,Neutral,  jealous looks like schindlers list toronto
enthusiasm,Neutral,want tatt
neutral,Neutral,  what come are erock left bah d
enthusiasm,Neutral,so need lot money tomorrow
sadness,Negative,  room makes sad
worry,Negative,nearly fell asleep jolted bed massive panic attack im sure sleep all
neutral,Neutral,gays 200 tonight
sadness,Negative,  oh fck completely forgot thirsty thursday oh my gaga sucks
sadness,Positive,people wrong world blames people there great world living in shit
surprise,Positive,  nope sleeping cuz live east coast
neutral,Positive,  bet cool sr huh here stopped sweating noon dad packing
sadness,Neutral,  eww dislike
worry,Positive,tactical mistake going city library buying milk knew ouch ouch ouch maybe good thing try uni
neutral,Positive,decided 2 trans frm relaxed 2 natural hair wish head looked like roots age instant gratification
sadness,Negative,  sorry bout cat
neutral,Neutral,needs increase salary 
worry,Positive,stomach feels like touching groundim
love,Positive,pug woke incredible sleep
love,Positive,  cant wait hear new album im sure amazingplease replay love much
worry,Positive,sooo work little time
sadness,Neutral,missed iron chef
sadness,Negative,  ds version sucks
sadness,Negative,bad day
enthusiasm,Positive,  know ridiculous got hang love chicago want shopping trip sounds like fun
hate,Neutral,hates net ayaw bumukas ng twitter 
worry,Negative,ugh internet down
surprise,Positive,omg didnt tweet today sadness
worry,Neutral,feeling giddy wanna home
neutral,Neutral,week wasnt adam lambert performance
neutral,Neutral,  link work
worry,Neutral,packing day youth camp
neutral,Neutral,gossip girl coming  chaceeeeeee
neutral,Neutral,smh  hiphop nursery rhymes
worry,Negative,somebody save polar bears
happiness,Positive,  noooooooooooo look lot pictures lol lol
surprise,Positive,  sleepy bored right word  work
worry,Neutral,come attention 16yo friend ive recently gained ton weight know me
worry,Neutral,guess im staying home tonightno movieing
sadness,Neutral,went cd store search cd
worry,Negative,  reminds weather month ago horrible hope hugs
sadness,Neutral,miss mom quotmay angels lead inquot
love,Negative,theres android twitter app tweeties calibre
hate,Negative,jacksonville beach walking cold ass water work morning ily ltgt
neutral,Neutral,  no not
sadness,Neutral,  feel way day
sadness,Negative,cant sleep sucks day sleep shopping mom ugh
neutral,Positive,  got home till tmw 530p comcast right didnt miss
sadness,Positive,sleppytime missing godfather right now love wayne
sadness,Negative,headache right sucks
worry,Neutral,  hope ya sleepin guys
fun,Neutral,finished im not color drawing come
sadness,Negative,  lakers baby lakers ill miss game tmwr work posted
sadness,Positive,comfort food day pan mee though didnt taste good
worry,Negative,damn drunk hot sucks
sadness,Neutral,misses baby
worry,Neutral,sleeping paperwork do
worry,Negative,showered icecold water sweating now means thing im sick
worry,Positive,midnight cry wish person wanted wanted right
neutral,Positive,  ima need follow real quick cause cant dm
sadness,Negative,im poorly cant sleep
worry,Positive,went pole class feeling discouraged hopeless cones dancing sexy moves spreading legs
worry,Negative,  poor unfortunate souls appear pants all  
worry,Neutral,    told wash hair speak
worry,Negative,looks like sleepless night dedicated homework sorry advance ms chapman
worry,Neutral,    u lot mock me
worry,Neutral,didnt goodnight
hate,Positive,  pussy damnit sending email right btw
sadness,Neutral,work tom
neutral,Neutral,hongkong international airport wait 34 hours flight cebu
neutral,Neutral,cant sleep nothings tv
love,Positive,pics uploaded baby pics cats missy adult pretty little kitty batty kitten heaven
neutral,Negative,  oh  superseeded good
sadness,Positive,today goodbye second good friend week dmp sun shinning im definately working pm
anger,Neutral,fuckinm transtelecom
boredom,Negative,really bored guess bed
worry,Neutral,  met stranger 10 min ago stalking store
surprise,Neutral,  tee beefinwhat u supposed leavin
sadness,Positive,things hurt ones love unintentionally fix it
sadness,Negative,  sucks
neutral,Negative,  iiii know mean
sadness,Neutral,fever dont feel work
worry,Neutral,taking horse pills hoping sleep tonight
neutral,Neutral,  pgpm student where pgpm student 4 years back wish stay
sadness,Positive,missing   days cant pass quick
hate,Negative,  hey thats school hate place
sadness,Neutral,working home today killing doctor physio later today
neutral,Neutral,work distractions
happiness,Positive,  demi hi its enough replay love much
neutral,Positive,awwww noticed 
neutral,Negative,  sucks state starts tomorrow im headin 2 bed nitey nite
worry,Negative,looks like going nice work today annoying choice
neutral,Neutral,  guys set list forgot ask xx
neutral,Negative,impression silverlight sadly based saw today problematic
worry,Negative,desperatly hoping dad takes vanessas game
worry,Negative,  hi fuck job
sadness,Negative,missing deeply
neutral,Neutral,time bed work
happiness,Positive,  big now vanessa going 3 september going fast hard cuz im workin much miss alot
sadness,Negative,  sniff sniff care ravels hopefully well chatting soon mean time ill hella miss you
neutral,Positive,  lucky want teleport
worry,Negative,somebody save polar bears
worry,Negative,nose runny head pounding teeth hurt like bitch man   feel awful 
sadness,Neutral,want leave
relief,Neutral,headin homerefreshed mind soul justa lil bitbac reality
happiness,Positive,good lord seen agency work upcoming open day money jam
empty,Neutral,wut now
anger,Neutral,working fridaaaayyyyy
worry,Negative,grove drag hell hope suck
worry,Positive,  feel like shit saying happy belated birfdayy im month late
sadness,Negative,  lmaothats sad kinda discourages 4rom goin shits wack
surprise,Neutral,got home work  945 finished cleaning need eat dinner know want ughoh well eat
sadness,Neutral,  wish
sadness,Positive,miss little batty 3 months old got sick fun life lt3 end
neutral,Negative,fc finally again time hate keeps happening
neutral,Negative,seriously bored talk to tired sleep
sadness,Negative,morning again hate mornings offensive
neutral,Neutral,  still computer break omg
sadness,Negative,bed bed bed   answer texts anymore thought day sent heard back sad day
neutral,Neutral,u at
sadness,Neutral,  waah were longer peeps
sadness,Positive,  lol wow dawg sound like playing feel bad haha
surprise,Neutral,extremly deep
happiness,Positive,little foster kittens getting bigchubba winston going 2 b missed amazing homes
enthusiasm,Neutral,week till exam block
neutral,Positive,  im home cats right now
worry,Negative,hoping fail english sad
worry,Positive,know great shoulder stop hurting sleep normal again wantneed solid hours good sleep
neutral,Positive,lenos tonight like better conan
sadness,Negative,  im sorry bad driving experiences
neutral,Neutral, 
sadness,Neutral,misses  
hate,Neutral,plan changes  nooooooo
hate,Neutral,sister douchebag
surprise,Negative,  theres relisting fees complete sale sucks
neutral,Negative,  random
worry,Neutral,knew worn sars mask plane socal feeling beginnings sore throat
sadness,Positive,gutted bathroom free early work going happen  need loo
neutral,Negative,  july long
worry,Positive,  awww wish im stuck jab eyes knitting needles
surprise,Neutral,  too wonder mnet it
neutral,Neutral,wearing glasses gives headache
enthusiasm,Positive,  stop talkin food haha fill like sum nw hha hows day goin starting
worry,Neutral,finished sewing night uploading pictures slidebar beach cant believe difficulties twitter
sadness,Negative,thank    cant wait ummm btw ima crash sick
sadness,Negative,work computer home laptop fucked
worry,Positive,liesgirlstell guy calls phone number real  ohh phone working  try tomorrow 
worry,Negative,beer friday melbourne cbd mtub mini cmon thirsty lonely  buggers making feel like scotty mates
worry,Negative,  know came 22 1st lose lead 6 minutes
worry,Negative,gosh summer vacation philippines kinda sad wonder section in
neutral,Neutral,    page 6 ms twitterworld 26 votes
worry,Positive,im bummed cant wear sweet nike kicks work
worry,Negative,   twitter broken
neutral,Positive,sleepgood night tweeties oc tomorrow hope pray rachyl gets better soon
sadness,Negative,  depressing im stuck inside day
worry,Negative,  saw news feeds archie website cant believe hed choose veronica im disappointed
sadness,Negative,hate sick miss      
